condition,arm,extent_bp,gene,n_seeds,mean_delta_liver,sd_delta_liver,mean_retention,median_retention,sd_retention,min_retention,max_retention,positive_delta_fraction
downstream_recovery,downstream,800,SORT1,8,-5.996358920502126e-06,0.00011737529959912342,0.04489067858127327,0.030078742164314408,0.04265283502305947,0.004162818773784144,0.12844060672172586,0.375
downstream_recovery,downstream,1000,CELSR2,8,8.81462867830321e-07,8.324053159418905e-05,0.019726067487193733,0.011342382260403502,0.02175882321039055,0.005559196414583124,0.07146177112266718,0.25
downstream_recovery,downstream,1000,PSRC1,8,0.0003745584808566068,0.0002420824608378611,0.015637283324945222,0.011856549219389436,0.010106598092410587,0.006341946650381306,0.0364457489696065,1.0
downstream_recovery,downstream,1000,SORT1,8,-1.391970292497196e-05,0.00010317916672449063,0.03999525515555836,0.026455357884048715,0.03760200757244076,0.003126521431638463,0.10299885236872487,0.375
motif_only_baseline,shared,0,CELSR2,8,4.210587469405673e-05,4.941048075989537e-05,0.01595006485798925,0.014023548237792997,0.01735422712428329,0.0008518792415964956,0.05598088809710619,0.875
motif_only_baseline,shared,0,PSRC1,8,0.00016761744026885014,0.0003178875069714045,0.008693537805165259,0.0036313855618021426,0.01207141215155283,0.0007016761867279289,0.03595207019529621,0.75
motif_only_baseline,shared,0,SORT1,8,2.1234395155173523e-05,0.00011652058347271792,0.03472538244825974,0.013542052202048165,0.05316047217601634,0.001318096256424338,0.1610430937276533,0.375
native,none,-1,CELSR2,8,0.002747294967530586,0.0,1.0,1.0,0.0,1.0,1.0,1.0
native,none,-1,PSRC1,8,0.023952912604652758,0.0,1.0,1.0,0.0,1.0,1.0,1.0
native,none,-1,SORT1,8,0.0018308494399261882,0.0,1.0,1.0,0.0,1.0,1.0,1.0
upstream_recovery,upstream,2,CELSR2,8,2.882578908750444e-05,7.297099270548231e-05,0.017532138165770247,0.011599314237218493,0.021909360191341522,0.0013084765959871828,0.0682517451585629,0.625
upstream_recovery,upstream,2,PSRC1,8,0.0001883792893910309,0.0003117379738775723,0.01015628249938401,0.006301743353676063,0.011053586700183898,0.0009478112279022136,0.034754174535021214,0.625
upstream_recovery,upstream,2,SORT1,8,1.0017600116269364e-05,0.00011095876506834207,0.043107381472175375,0.03282677574258117,0.039792959826396475,0.010701124225790542,0.13791979086672823,0.5
upstream_recovery,upstream,5,CELSR2,8,4.271882482675634e-05,5.4388583981000996e-05,0.018053191515404157,0.015389787487821884,0.017198087884462015,0.0015227085960072087,0.05334637241747307,0.75
upstream_recovery,upstream,5,PSRC1,8,0.00011371334853389672,0.00024219847634326426,0.007287319445561251,0.004798368715035621,0.008204082292923688,0.0004314796631272398,0.02495042150354799,0.625
upstream_recovery,upstream,5,SORT1,8,1.737803110880235e-05,8.272238086131888e-05,0.03120139666900043,0.02397178186107854,0.03212198162000952,0.0016731351944813755,0.10374191438515581,0.625
upstream_recovery,upstream,10,CELSR2,8,7.663222664708422e-05,9.263763410709489e-05,0.02855379410550299,0.016472413190537667,0.033082119389115754,2.8707174379011585e-05,0.0973052425558333,0.875
upstream_recovery,upstream,10,PSRC1,8,0.00028012619490351987,0.0004543518985967976,0.015404620934248403,0.00983695839293217,0.0156496505972697,0.0024210766504116936,0.0479963898982617,0.75
upstream_recovery,upstream,10,SORT1,8,3.8613943661026766e-05,0.00010188685551963453,0.044766883368796646,0.0392086705704581,0.03626184988044181,0.005538014904705257,0.1205781686548263,0.625
upstream_recovery,upstream,20,CELSR2,8,6.243687763286278e-05,6.405673228347871e-05,0.02272667419071653,0.016977843634239057,0.023316292222184027,0.002608783418325664,0.07337703193418568,1.0
upstream_recovery,upstream,20,PSRC1,8,0.00017755506597449955,0.00024655811341778387,0.009504237949844474,0.007992607726200722,0.008094293109921017,0.0005589547417251092,0.024865023845545085,0.625
upstream_recovery,upstream,20,SORT1,8,3.3133419943330404e-05,0.0001143404329437013,0.04139126455852347,0.028880866250109417,0.04813088555862402,0.0032192649918650496,0.1519404527171832,0.375
upstream_recovery,upstream,40,CELSR2,8,0.00012852650829610194,0.00011280656339225881,0.04767624885836571,0.035532152248841514,0.03986935564958784,0.003573275228510314,0.12455180082897983,0.875
upstream_recovery,upstream,40,PSRC1,8,0.0012279787038875882,0.0007581245066913402,0.05126636264055246,0.05819602139911978,0.031650618828880026,0.008915652377416242,0.098375944112568,1.0
upstream_recovery,upstream,40,SORT1,8,7.002359981001741e-05,0.00016324474031640488,0.07089907726864322,0.05492657470411962,0.062266362908406064,0.020757123167689726,0.2095794014468868,0.625
upstream_recovery,upstream,80,CELSR2,8,0.00018374797510250411,0.0002975932379580363,0.06781475750194656,0.03202729581264897,0.10765832961000438,0.00020983578010870716,0.3237077657043806,0.75
upstream_recovery,upstream,80,PSRC1,8,0.0019978491700343073,0.00147726252480422,0.0834073585542258,0.06465695460993605,0.06167360726383094,0.0067793739439069856,0.1699515192286796,1.0
upstream_recovery,upstream,80,SORT1,8,0.0001379210141577488,0.00037784797180723045,0.13646527538056297,0.07276785489113469,0.16671677078175662,0.010388353629717833,0.514254188103322,0.625
upstream_recovery,upstream,120,CELSR2,8,0.0006341464006615661,0.0004886940780643387,0.23082574246898957,0.16112902079651123,0.17788191069399537,0.08794452544835281,0.6002470284963036,1.0
upstream_recovery,upstream,120,PSRC1,8,0.00537566390666334,0.0032384476364097454,0.22442631488661377,0.20750968719874052,0.13520057831216273,0.060333638493382816,0.423747764055474,1.0
upstream_recovery,upstream,120,SORT1,8,0.0005788429968209916,0.0006765093370387425,0.3247026857231395,0.25702574439858006,0.36094090281780766,0.03416716445755995,1.1654998600092288,0.875
upstream_recovery,upstream,160,CELSR2,8,0.000598181998314096,0.0004153201182380263,0.2177349011969303,0.1591942585065193,0.1511741997661569,0.10648742304437013,0.5487593822766249,1.0
upstream_recovery,upstream,160,PSRC1,8,0.005464748418323139,0.0031269574910380207,0.2281454664207155,0.17830083889146006,0.13054602346900482,0.08861106352636529,0.44627028707953775,1.0
upstream_recovery,upstream,160,SORT1,8,0.0004573235123925051,0.0006145473680331983,0.2561234822256447,0.15016195770069785,0.3301605168545748,0.005325158511039879,0.9912335215426225,0.875
upstream_recovery,upstream,220,CELSR2,8,0.0008990831207452185,0.00039386127478147667,0.3272612265414521,0.2783022938760442,0.14336330078728313,0.21912460438303402,0.6323318946243757,1.0
upstream_recovery,upstream,220,PSRC1,8,0.00802239244653648,0.003475839156224366,0.33492346333606887,0.28634402580874463,0.14511133629524445,0.19296769814912965,0.5747139925137545,1.0
upstream_recovery,upstream,220,SORT1,8,0.0007213633714192097,0.0005796374077770944,0.3940047475713196,0.28416513953941236,0.3165947975495259,0.11584959129897712,1.1210246547416916,1.0
upstream_recovery,upstream,300,CELSR2,8,0.0009050086502892941,0.0003840834370860159,0.32941808614848656,0.27541174343147373,0.13980422256269426,0.20515330864313494,0.6205485644910058,1.0
upstream_recovery,upstream,300,PSRC1,8,0.008135631908780167,0.0033256739691688623,0.3396510496681666,0.296297152462761,0.13884215352261017,0.20676427562415906,0.5381474576061643,1.0
upstream_recovery,upstream,300,SORT1,8,0.0007816573232505442,0.0005796038746815826,0.42693697592198365,0.3128490353687528,0.31657648195525556,0.15216554131099957,1.1397361637579626,1.0
upstream_recovery,upstream,400,CELSR2,8,0.0011014760610155452,0.0004040849271810395,0.4009311246275132,0.36117778978569337,0.14708465307030805,0.2654216694390497,0.6931928952586885,1.0
upstream_recovery,upstream,400,PSRC1,8,0.010021948708853062,0.0038729781159295316,0.41840209056272926,0.4047719908413935,0.16169132246477702,0.25672930577004927,0.6413584988817522,1.0
upstream_recovery,upstream,400,SORT1,8,0.0008491964107605107,0.0004957580672717457,0.46382645794989374,0.3876841806014774,0.2707803582645947,0.22063395553897516,1.0330120220108283,1.0
upstream_recovery,upstream,600,CELSR2,8,0.0012237325317987595,0.00040600092268393235,0.4454317960982235,0.4403748474454151,0.14778206471541258,0.25967880428699375,0.6778228887983562,1.0
upstream_recovery,upstream,600,PSRC1,8,0.01113494582130543,0.0041575736839972,0.46486813545766925,0.44009777251653764,0.1735727822590397,0.28298452389058537,0.6809520988590254,1.0
upstream_recovery,upstream,600,SORT1,8,0.0008199714371407065,0.0004576246132572576,0.44786393641072103,0.38048377761667773,0.24995207321673973,0.2104509774414743,0.9570979634449647,1.0
upstream_recovery,upstream,800,CELSR2,8,0.0013668309517661623,0.00043328384588052965,0.4975188204835327,0.5019835793614992,0.15771289614015785,0.30819437175819214,0.7564665925715526,1.0
upstream_recovery,upstream,800,PSRC1,8,0.011787448972670776,0.004135123295271046,0.49210921307253097,0.49965848412987934,0.17263551049185624,0.29463289025732253,0.7150294755896288,1.0
upstream_recovery,upstream,800,SORT1,8,0.0008822310030166137,0.0004059453474605899,0.4818697724550094,0.43715367386260084,0.22172513949424252,0.26122400618181946,0.9064171404158267,1.0
upstream_recovery,upstream,1000,CELSR2,8,0.0012519354498435116,0.00037032355974332,0.45569750050130853,0.4584004875130113,0.1347957041817706,0.3010943385004474,0.6626664852198428,1.0
upstream_recovery,upstream,1000,PSRC1,8,0.011944637306710072,0.004150427171340491,0.49867160223303586,0.4974620122498486,0.17327442552995778,0.2999855126098262,0.7296216364726759,1.0
upstream_recovery,upstream,1000,SORT1,8,0.0008321661665063613,0.0003989218650224833,0.45452463122249454,0.4387099650193613,0.21788895161066116,0.23006043353147096,0.8611315443617233,1.0
