gene,upstream_bp,downstream_bp,window_length_bp,outside_n_seeds,outside_mean_retention,outside_median_retention,outside_sd_retention,outside_min_retention,outside_max_retention,outside_fraction_seeds_ge_0p7,inside_n_seeds,inside_mean_retention,inside_median_retention,inside_sd_retention,inside_min_retention,inside_max_retention,inside_fraction_seeds_ge_0p7,contains_full_minor_motif,passes_mean_criterion,passes_median_criterion
SORT1,185.0,126.0,312.0,8,0.6097977790824594,0.5678141594451932,0.18206823961233456,0.47493088134098665,1.0192097364228454,0.25,8,0.027090606930592558,0.017729619353903856,0.029053082517217645,0.001903880560403051,0.09128909951188303,0.0,True,False,False
SORT1,185.0,127.0,313.0,8,0.5944479186601326,0.5349139915188343,0.18142965946159514,0.4524051738996558,1.0186368322195722,0.125,8,0.032589040449902615,0.027826354052878075,0.014027775923543633,0.015117917584591582,0.0579203582933483,0.0,True,False,False
SORT1,185.0,128.0,314.0,8,0.5926997536038128,0.5293645044003261,0.17583475985292754,0.4675728262446912,1.0089442790562626,0.125,8,0.029458706525117367,0.02304447268585815,0.024469134349054046,0.0011545342135204687,0.08155840260066297,0.0,True,False,False
SORT1,185.0,129.0,315.0,8,0.6064490079193268,0.5637788695762472,0.19696447724798857,0.4167033038507788,1.0629735238704556,0.125,8,0.040392723088493426,0.028950730986479236,0.02762004594871442,0.012357009601407362,0.08721732450017006,0.0,True,False,False
SORT1,185.0,130.0,316.0,8,0.6371110830197103,0.5950045639917074,0.16938416829886346,0.4595775569644949,1.008610657860122,0.25,8,0.029996536981599757,0.029756859055130556,0.017467211484951763,0.005229753371193493,0.061972562029005474,0.0,True,False,False
SORT1,185.0,131.0,317.0,8,0.6557380757451061,0.6108840400861879,0.18279292161076058,0.4699616720835227,1.0721247653576158,0.25,8,0.023232798821234527,0.01786709510912651,0.015623241928408353,0.005229753371193493,0.048323268041946726,0.0,True,False,False
SORT1,185.0,132.0,318.0,8,0.6475138973936176,0.5843838908112103,0.20958016115951525,0.4699616720835227,1.1298678590703115,0.25,8,0.029070648178391223,0.028462815878786102,0.014002555539113653,0.011169825267241577,0.047638247542578546,0.0,True,False,False
SORT1,185.0,133.0,319.0,8,0.655065632730178,0.6149997966639924,0.20343122476745917,0.4699616720835227,1.1083361167545243,0.25,8,0.021404331040004384,0.01411733421061194,0.021431631739805664,0.0021211375924800485,0.06119821282252282,0.0,True,False,False
SORT1,185.0,134.0,320.0,8,0.6871937306208883,0.6539746726673294,0.18325219889541944,0.5174595485588848,1.0981461028839914,0.25,8,0.04285694252234093,0.05308989902958315,0.0254610284887746,0.010781220807431382,0.07322590707125863,0.0,True,False,False
SORT1,185.0,135.0,321.0,8,0.7024476234147775,0.6476493059950882,0.17398715628880224,0.5319104273771152,1.0570017886561462,0.25,8,0.036260170781656706,0.02927526428364375,0.02859410629176438,0.005085175527143703,0.07960448601113496,0.0,True,True,False
SORT1,185.0,136.0,322.0,8,0.7119250926574763,0.6583813326373171,0.20304037809583697,0.5265853929536991,1.1526368081201486,0.375,8,0.025836312658022678,0.018972832848368815,0.019771818879422292,0.005085175527143703,0.053105995036174816,0.0,True,True,False
SORT1,185.0,137.0,323.0,8,0.6979209117398006,0.6514711806688339,0.20038364825916563,0.5504592980919396,1.172826822997607,0.25,8,0.024550644512007575,0.018972832848368815,0.020099714926337327,0.0032957390261129306,0.05505601181343356,0.0,True,False,False
SORT1,185.0,138.0,324.0,8,0.7085443608996191,0.6646216984154883,0.18693641832086244,0.5504592980919396,1.1368557163893258,0.5,8,0.04105856908720919,0.043163983877007,0.02783753070814576,0.00287885721521362,0.0797832369998096,0.0,True,True,False
SORT1,185.0,139.0,325.0,8,0.6871075368574442,0.6693598760915564,0.19301381051685976,0.5353186614718594,1.1368557163893258,0.125,8,0.027075625348572774,0.025119746749275945,0.020576879841371767,0.0010768683270174287,0.0645772456212815,0.0,True,False,False
SORT1,185.0,140.0,326.0,8,0.7258132367940989,0.6789198353338679,0.18843065521142502,0.5547712910404821,1.1368557163893258,0.375,8,0.02069319874892488,0.02069937447722573,0.008616863930141178,0.007730488079712448,0.033370039867595,0.0,True,True,False
SORT1,185.0,141.0,327.0,8,0.7198246782361697,0.6715131846429755,0.16550111091045455,0.5807360114138345,1.1165680711335257,0.375,8,0.014749305078569972,0.014553565872310574,0.011214620403519582,0.00018925491148677253,0.030289265912457466,0.0,True,True,False
SORT1,185.0,142.0,328.0,8,0.732897826279416,0.6970508257385377,0.20634466960400022,0.5360648323939493,1.1992114085759016,0.5,8,0.014112018654251744,0.010428948313315659,0.010871870272745849,0.0035561564076839426,0.031036085752247224,0.0,True,True,False
SORT1,185.0,143.0,329.0,8,0.7391726720396443,0.7236895925790627,0.21117592138029806,0.5119951496026794,1.1918802036186857,0.5,8,0.03219716071027679,0.03611797051409389,0.019266580907076065,0.0035561564076839426,0.05277638268671254,0.0,True,True,True
SORT1,185.0,144.0,330.0,8,0.7408830924375056,0.6954910355118145,0.21978759176911256,0.5360648323939493,1.247212361439366,0.5,8,0.016462096543348483,0.015042360680547399,0.008170651009905867,0.0066091058300716855,0.02902266442769148,0.0,True,True,False
SORT1,185.0,145.0,331.0,8,0.7292499470600539,0.7101310078257742,0.20524783958970205,0.5033598536194466,1.189533651142762,0.625,8,0.023625864107006907,0.0183561654530717,0.017047227762711004,0.0012023976906532941,0.04918762721746621,0.0,True,True,True
SORT1,185.0,146.0,332.0,8,0.7536292458225246,0.7279807873088535,0.19833092030351818,0.5633544225852214,1.189533651142762,0.625,8,0.027157480059818072,0.028216148025576388,0.01799361085566254,0.0009336536170152693,0.049595278733656115,0.0,True,True,True
SORT1,185.0,147.0,333.0,8,0.7360457426188031,0.7035448003480953,0.17774708421675,0.5730608058322317,1.1543766870416678,0.5,8,0.01722885826957809,0.011425804275578837,0.01730655964366281,0.0009336536170152693,0.049595278733656115,0.0,True,True,True
SORT1,185.0,148.0,334.0,8,0.7299809927330144,0.7144272450935526,0.19213893829208575,0.5352317347772756,1.1543766870416678,0.625,8,0.01244075542965869,0.014258540021975949,0.008447326118928478,0.0009336536170152693,0.02540645363759349,0.0,True,True,True
SORT1,185.0,149.0,335.0,8,0.7227028856945413,0.666930195733964,0.22858429426898833,0.5352317347772756,1.2447104249107768,0.5,8,0.021144269596929954,0.01876218623303801,0.01005322000737314,0.009407170148462,0.04312335573043188,0.0,True,True,False
