gene_symbol,gene_id_base,cohort,hpa_liver_ntpm,rna_liver_primary,hpa_log10,ag_log10
ISY1-RAB43,ENSG00000261796,,9.2,0.034840942420807,0.968482948553935,-1.4566653854825544
ENSG00000261832,ENSG00000261832,,0.0,0.1454421676398018,-1.0,-0.8370111611790697
MIA,ENSG00000261857,,2.3,0.00222607526165,0.380211241711606,-2.633376237505032
SMIM36,ENSG00000261873,,0.0,2.3805057206452215e-05,-1.0,-3.907261614831267
PCDHGA9,ENSG00000261934,,0.4,0.0175358081354574,-0.3010299956639812,-1.7536046346226135
GFY,ENSG00000261949,,0.0,3.986397087991347e-06,-1.0,-3.983023468932088
OR1P1,ENSG00000262085,,0.0,0.0001084753858797,-1.0,-3.680945213628616
GREP1,ENSG00000262152,,0.0,0.0004727936701373,-1.0,-3.242001790001233
C17ORF114,ENSG00000262165,,0.9,0.0024034042790622,0.0,-2.6014690097653084
MYMX,ENSG00000262179,,0.1,0.0051710787728342,-0.6989700043360187,-2.278100493488782
PCDHGB3,ENSG00000262209,,0.2,0.015312948753702,-0.5228787452803375,-1.812114265567708
CORO7,ENSG00000262246,,8.8,0.0665297251491733,0.9493900066449128,-1.1763319782138324
MMP12,ENSG00000262406,,0.1,0.0015110167713748,-0.6989700043360187,-2.792899938365626
SPDYE9,ENSG00000262461,,0.0,1.3481002050902502e-05,-1.0,-3.945076837986723
CCER2,ENSG00000262484,,3.0,0.0025615152724209,0.4913616938342727,-2.574871037396884
SMIM28,ENSG00000262543,,0.0,3.5031585436128554e-05,-1.0,-3.869564633163011
PCDHGA4,ENSG00000262576,,0.3,0.0150373699287071,-0.3979400086720376,-1.8199495756069397
OR1D5,ENSG00000262628,,0.0,1.2645493262679955e-05,-1.0,-3.948286178909542
SPON1,ENSG00000262655,,1.9,0.0144177144352201,0.3010299956639812,-1.838101750461159
ENSG00000262660,ENSG00000262660,,0.1,0.6803451710657846,-0.6989700043360187,-0.1672068636464081
OVCA2,ENSG00000262664,,52.3,0.6352712206469867,1.7193312869837267,-0.1969724605779127
MRPL12,ENSG00000262814,,184.6,0.7029434895501537,2.2664668954402414,-0.1530178091374071
C19ORF84,ENSG00000262874,bottom500,0.0,0.0011759039222443,-1.0,-2.894182027503662
CCNQ,ENSG00000262919,,13.4,0.0898906830439098,1.130333768495006,-1.0458024518059272
GTF2I,ENSG00000263001,,54.7,0.159120349488618,1.7387805584843692,-0.7980014271395945
ZNF234,ENSG00000263002,,2.9,0.0137872756754051,0.4771212547196624,-1.8573829432604776
ENSG00000263020,ENSG00000263020,,8.6,1.1928329979450734,0.9395192526186184,0.0766160518514906
MYZAP,ENSG00000263155,,2.2,0.0200365580271395,0.3617278360175929,-1.6960147620629211
DPEP2NB,ENSG00000263201,,0.0,1.8558135508302585e-05,-1.0,-3.9260686391962487
PPIAL4A,ENSG00000263353,,0.2,9.422936523088782e-05,-0.5228787452803375,-3.71168510916735
TMEM238L,ENSG00000263429,,0.2,0.0015808851610598,-0.5228787452803375,-2.774461956769752
SRSF8,ENSG00000263465,,13.7,0.3975011479912164,1.1398790864012365,-0.4005523703372726
FAM72C,ENSG00000263513,,0.2,0.0018864607975839,-0.5228787452803375,-2.7019200012408784
IKBKE,ENSG00000263528,,1.6,0.0141378703998827,0.2304489213782739,-1.8465549645435575
ENSG00000263620,ENSG00000263620,,6.2,0.1664704316399111,0.7993405494535817,-0.7784020888554706
