gene,upstream_bp,downstream_bp,window_length_bp,outside_n_seeds,outside_mean_retention,outside_median_retention,outside_sd_retention,outside_min_retention,outside_max_retention,outside_fraction_seeds_ge_0p7,inside_n_seeds,inside_mean_retention,inside_median_retention,inside_sd_retention,inside_min_retention,inside_max_retention,inside_fraction_seeds_ge_0p7,contains_full_minor_motif,passes_mean_criterion,passes_median_criterion
CELSR2,175.0,129.0,305.0,8,0.3837578413051745,0.3581106692839825,0.08017914104195493,0.27180421979769886,0.5051912559530944,0.0,8,0.013680315036023231,0.013399341872139047,0.010838524362660203,0.001752748452900092,0.03483470160385447,0.0,True,False,False
CELSR2,175.0,130.0,306.0,8,0.40636084704840775,0.4064275893122543,0.07975501979387119,0.29472437637036536,0.49513756824644617,0.0,8,0.013973061227624673,0.011618609729388241,0.010937431438303153,0.0003416538638530039,0.03483470160385447,0.0,True,False,False
CELSR2,175.0,131.0,307.0,8,0.4071696923231963,0.3966775159680631,0.08336197165817441,0.29472437637036536,0.5164050963301225,0.0,8,0.013003790761044279,0.011618609729388241,0.010384894560621092,0.0007533943799494694,0.031080905652606742,0.0,True,False,False
CELSR2,175.0,132.0,308.0,8,0.4151577748170242,0.3966775159680631,0.07734180893849837,0.32843775177313583,0.5320742793915593,0.0,8,0.011517656084661149,0.006945052344252085,0.009782872251647506,0.002856113460453357,0.030526579181879253,0.0,True,False,False
CELSR2,175.0,133.0,309.0,8,0.4067635109108976,0.3885197424201998,0.07400517403798658,0.3204245118242454,0.518021865577726,0.0,8,0.010703181731207798,0.00829535403119974,0.010222532042510576,0.00018002195703266456,0.030526579181879253,0.0,True,False,False
CELSR2,175.0,134.0,310.0,8,0.42138913175111875,0.39883839581313385,0.07184718750563969,0.30419729597862777,0.5204965504198531,0.0,8,0.009310988827445568,0.005303281692753865,0.009834683654483327,0.0005664940746424241,0.03040863907842068,0.0,True,False,False
CELSR2,175.0,135.0,311.0,8,0.4408011755495813,0.41988744706501946,0.09258182889822143,0.33243385908168915,0.6204099969078455,0.0,8,0.01458852565149277,0.012324047312594545,0.010007882677353714,0.0034470483842920976,0.03040863907842068,0.0,True,False,False
CELSR2,175.0,136.0,312.0,8,0.4387466536003197,0.41603706621359315,0.10176967812671793,0.32723457289854563,0.6205982759691093,0.0,8,0.011634836326095747,0.010206539698412821,0.007838317147019753,0.0034470483842920976,0.02672415040081867,0.0,True,False,False
CELSR2,175.0,137.0,313.0,8,0.43386961673913743,0.41426995751917695,0.07656972828216971,0.34771029236239454,0.5638224519340574,0.0,8,0.009499564694347503,0.006232746595751036,0.009233689830052533,0.0022590646241668847,0.02672415040081867,0.0,True,False,False
CELSR2,175.0,138.0,314.0,8,0.4423616059346389,0.41804448914667147,0.0759809863306236,0.3655322540075285,0.5637706694393562,0.0,8,0.00782954973641648,0.005980254681013732,0.0063082160157231495,0.002219969376306921,0.021021970268416592,0.0,True,False,False
